Id,NEWS_DATE,TEXT,COUNTRY
1,2012-01-01T00:00:00,Government signs ceasefire with rebels of Karen ethnic group.,Myanmar
2,2012-01-01T00:00:00,Taliban agree to open office in Dubai as a move towards peace talks with the US and the Afghan government.,Afghanistan
3,2012-02-01T00:00:00,"At least 30 people are killed in protests about the burning of copies of the Koran at the US Bagram airbase. US officials believed Taliban prisoners were using the books to pass messages, and that they were extremist texts not Korans. Two soldiers are also killed in reprisal attacks.",Afghanistan
4,2012-02-01T00:00:00,Government steps up the bombardment of Homs and other cities.,Syria
5,2012-03-01T00:00:00,Tight security for Arab League summit in Baghdad. It is the first major summit to be held in Iraq since the fall of Saddam Hussein. A wave of pre,Iraq
6,2012-03-01T00:00:00,"UN Security Council endorses non-binding peace plan drafted by UN envoy Kofi Annan. China and Russia agree to support the plan after an earlier, tougher draft is modified.",Syria
7,2012-03-01T00:00:00,US Army Sgt Robert Bales is accused of killing 16 civilians in an armed rampage in the Panjwai district of Kandahar.,Afghanistan
8,2012-04-01T00:00:00,"NLD candidates sweep the board in parliamentary by-elections, with Aung San Suu Kyi elected. The European Union suspends all non-military sanctions against Burma for a year.",Myanmar
9,2012-04-01T00:00:00,Taliban announce spring offensive" with audacious attack on the diplomatic quarter of Kabul. The government blamed the Haqqani Network. Security forces kill 38 militants.",Afghanistan
10,2012-05-01T00:00:00,Manmohan Singh pays first official visit by an Indian prime minister since 1987.,Myanmar
11,2012-05-01T00:00:00,Nato summit endorses the plan to withdraw foreign combat troops by the end of 2014.,Afghanistan
12,2012-06-01T00:00:00,"Turkey changes rules of engagement after Syria shoots down a Turkish plane, declaring that if Syrian troops approach Turkey's borders they will be seen as a military threat.",Syria
13,2012-07-01T00:00:00,Free Syria Army blows up three security chiefs in Damascus and seizes parts of the city of Aleppo in the north.,Syria
14,2012-07-01T00:00:00,"Tokyo donor conference pledges $16bn in civilian aid to Afghanistan up to 2016, with US, Japan, Germany and UK supplying bulk of funds. Afghanistan agrees to new conditions to counter corruption.",Afghanistan
15,2012-08-01T00:00:00,"President Thein Sein sets up commission to investigate violence between Rakhine Buddhists and Rohingya Muslims in the west, in which dozens have died.",Myanmar
16,2012-08-01T00:00:00,"Prime Minister Riad Hijab defects, US President Obama warns that use of chemical weapons would tilt the US towards intervention.",Syria
17,2012-08-01T00:00:00,The US military discipline six soldiers for accidentally burning copies of the Koran and other religious texts in Afghanistan. They will not face criminal prosecution. Three US Marines are also disciplined for a video in which the bodies of dead Taliban fighters were urinated on.,Afghanistan
18,2012-09-01T00:00:00,"Moe Thee Zun, the leader of student protests in 1988, returns from exile after Burma removed 2,082 people from its blacklist.",Myanmar
19,2012-09-01T00:00:00,"US hands over Bagram high-security jail to the Afghan government, although it retains control over some foreign prisoners until March 2013.",Afghanistan
20,2012-10-01T00:00:00,Fire in Aleppo destroys much of the historic market as fighting and bomb attacks continue in various cities.,Syria
