Id,YEAR,COUNTRY,COUNT
1,2012,Afghanistan,2430
2,2012,Bhutan,1011
3,2012,Congo,489
4,2012,Myanmar,2345
5,2012,Eritrea,182
6,2012,Ethiopia,182
7,2012,Iraq,4062
8,2012,South Sudan,0
9,2012,Somalia,396
10,2012,Syria,98
11,2012,Other,1284
12,2013,Afghanistan,2744
13,2013,Bhutan,507
14,2013,Congo,323
15,2013,Myanmar,1818
16,2013,Eritrea,277
17,2013,Ethiopia,221
18,2013,Iraq,2353
19,2013,South Sudan,155
20,2013,Somalia,234
21,2013,Syria,1007
22,2013,Other,1345
23,2014,Afghanistan,1800
24,2014,Bhutan,354
25,2014,Congo,384
26,2014,Myanmar,2027
27,2014,Eritrea,362
28,2014,Ethiopia,282
29,2014,Iraq,2332
30,2014,South Sudan,74
31,2014,Somalia,286
32,2014,Syria,2230
33,2014,Other,850
34,2015,Afghanistan,1714
35,2015,Bhutan,514
36,2015,Congo,655
37,2015,Myanmar,1951
38,2015,Eritrea,292
39,2015,Ethiopia,337
40,2015,Iraq,4358
41,2015,South Sudan,110
42,2015,Somalia,437
43,2015,Syria,4249
44,2015,Other,920
45,2016,Afghanistan,1958
46,2016,Bhutan,555
47,2016,Congo,336
48,2016,Myanmar,1747
49,2016,Eritrea,323
50,2016,Ethiopia,323
51,2016,Iraq,7478
52,2016,South Sudan,316
53,2016,Somalia,162
54,2016,Syria,6261
55,2016,Other,798
